Penstemon speciosus
Plantago erecta
Plantago major
Plantago ovata var. fastigiata
Veronica anagallis-aquatica
Platanus racemosa
Aristida adscensionis
Aristida divaricata
Aristida ternipes var. gentilis
Arundo donax
Avena barbata
Avena fatua
Avena sativa
Bromus arenarius
Bromus arizonicus
Bromus berteroanus
Bromus carinatus var. carinatus
Bromus carinatus var. marginatus
Bromus diandrus
Bromus hordeaceus
Bromus madritensis subsp. rubens
Bromus sterilis
Bromus tectorum
Crypsis alopecuroides
Crypsis schoenoides
Cynodon dactylon
Deschampsia danthonioides
Distichlis spicata
Echinochloa crus-galli
Elymus cinereus
Elymus condensatus
Elymus elymoides var. californicus
Elymus elymoides var. elymoides
Elymus glaucus subsp. glaucus
Elymus multisetus
Eriastrum tracyi
Gilia achilleifolia subsp. multicaulis
Gilia aliquanta subsp. aliquanta
Gilia brecciarum subsp. brecciarum
Gilia brecciarum subsp. neglecta
Gilia capitata subsp. abrotanifolia
Gilia capitata subsp. staminea
Gilia jacens
Gilia latiflora subsp. davyi
Gilia latiflora subsp. latiflora
Gilia leptantha subsp. pinetorum
Gilia minor
Gilia modocensis
Gilia ochroleuca subsp. bizonata
Gilia ochroleuca subsp. exilis
Gilia ochroleuca subsp. vivida
Gilia sinuata
Gilia tricolor subsp. diffusa
Gilia tricolor subsp. tricolor
Leptosiphon aureus subsp. aureus
Leptosiphon bicolor
Leptosiphon bolanderi
Leptosiphon ciliatus
Leptosiphon liniflorus
Leptosiphon nudatus
Leptosiphon parviflorus
Leptosiphon pygmaeus subsp. continentalis
Linanthus dichotomus subsp. dichotomus
Linanthus parryae
Loeseliastrum matthewsii
Loeseliastrum schottii
Microsteris gracilis
Navarretia pubescens
Navarretia setiloba
Saltugilia australis
Centrostegia thurberi
Chorizanthe brevicornu var. brevicornu
Chorizanthe membranacea
Chorizanthe spinosa
Chorizanthe watsonii
Chorizanthe xanti var. xanti
Eriogonum angulosum
Eriogonum baileyi var. baileyi
Eriogonum callistum
